,T2,RRR,PE,Q_HBV,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Qobs,Q_DDM,Q_Total
2016-01-20,253.20794186984935,0.5125999450683594,0.0,0.007856423706942874,115.23728370666504,192.87110711991903,0.0,0.0,0.17568701391773975,0.0,0.0,0.007856423706942874
2016-01-21,250.77571085104532,0.0400543212890625,0.0,0.007542166758665158,115.26532173156738,192.87110711991903,0.0,0.0,0.16865953336103015,0.0,0.0,0.007542166758665158
2016-01-22,252.38621445184796,0.0,0.0,0.007240480088318552,115.26532173156738,192.87110711991903,0.0,0.0,0.16191315202658896,0.0,0.0,0.007240480088318552
2016-01-23,254.97465847413548,0.0,0.0,0.006950860884785811,115.26532173156738,192.87110711991903,0.0,0.0,0.1554366259455254,0.0,0.0,0.006950860884785811
2016-01-24,254.7726410198569,0.0,0.0,0.00667282644939438,115.26532173156738,192.87110711991903,0.0,0.0,0.14921916090770437,0.0,0.0,0.00667282644939438
2016-01-25,254.43626873036075,0.0,0.0,0.006405913391418604,115.26532173156738,192.87110711991903,0.0,0.0,0.1432503944713962,0.0,0.0,0.006405913391418604
2016-01-26,255.13899997059488,0.0,0.0,0.0061496768557618596,115.26532173156738,192.87110711991903,0.0,0.0,0.13752037869254036,0.0,0.0,0.0061496768557618596
2016-01-27,254.41535417489789,0.012874603271484375,0.0,0.005903689781531386,115.27433395385742,192.87110711991903,0.0,0.0,0.13201956354483874,0.0,0.0,0.005903689781531386
2016-01-28,254.23515166387355,0.13971328735351562,0.0,0.00566754219027013,115.37213325500488,192.87110711991903,0.0,0.0,0.1267387810030452,0.0,0.0,0.00566754219027013
2016-01-29,255.05149747759904,0.03814697265625,0.0,0.0054408405026593245,115.39883613586426,192.87110711991903,0.0,0.0,0.1216692297629234,0.0,0.0,0.0054408405026593245
2016-01-30,256.5957005927176,0.8335113525390625,0.0,0.005223206882552951,115.9822940826416,192.87110711991903,0.0,0.0,0.11680246057240645,0.0,0.0,0.005223206882552951
2016-01-31,256.20349344746325,0.46443939208984375,0.0,0.0050142786072508334,116.30740165710449,192.87110711991903,0.0,0.0,0.1121303621495102,0.0,0.0,0.0050142786072508334
2016-02-01,255.51078079687883,0.010967254638671875,0.0,0.0048137074629608,116.31507873535156,192.87110711991903,0.0,0.0,0.10764514766352978,0.0,0.0,0.0048137074629608
2016-02-02,256.0944049625082,0.6570816040039062,0.0,0.004621159164442368,116.7750358581543,192.87110711991903,0.0,0.0,0.1033393417569886,0.0,0.0,0.004621159164442368
2016-02-03,254.77683020151326,0.3528594970703125,0.0,0.004436312797864673,117.02203750610352,192.87110711991903,0.0,0.0,0.09920576808670906,0.0,0.0,0.004436312797864673
2016-02-04,253.73862334806017,0.026226043701171875,0.0,0.004258860285950085,117.04039573669434,192.87110711991903,0.0,0.0,0.0952375373632407,0.0,0.0,0.004258860285950085
2016-02-05,256.220806546594,0.004291534423828125,0.0,0.004088505874512082,117.04339981079102,192.87110711991903,0.0,0.0,0.09142803586871107,0.0,0.0,0.004088505874512082
2016-02-06,257.3752696082808,0.008106231689453125,0.0,0.003924965639531599,117.04907417297363,192.87110711991903,0.0,0.0,0.08777091443396262,0.0,0.0,0.003924965639531599
2016-02-07,261.00057459796113,0.0,0.0,0.0037679670139503353,117.04907417297363,192.87110711991903,0.0,0.0,0.08426007785660411,0.0,0.0,0.0037679670139503353
2016-02-08,262.51610783642974,0.0,0.0,0.003617248333392322,117.04907417297363,192.87110711991903,0.0,0.0,0.08088967474233995,0.0,0.0,0.003617248333392322
2016-02-09,261.4656206529033,0.00476837158203125,0.0,0.003472558400056629,117.05241203308105,192.87110711991903,0.0,0.0,0.07765408775264634,0.0,0.0,0.003472558400056629
2016-02-10,258.92227699214044,0.14591217041015625,0.0,0.0033336560640543638,117.15455055236816,192.87110711991903,0.0,0.0,0.07454792424254049,0.0,0.0,0.0033336560640543638
