,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2011-06-18,273.748012182242,10.302543640136719,0.6188937879243809,1.3013993663458943,6.928422928422928,4.320908651843567,5.622308018189461
2011-06-19,273.5436126074338,9.923458099365234,0.5962961902441741,1.4821429520171217,6.3125631125631125,3.302898361963836,4.785041313980958
2011-06-20,273.6239003668805,5.436897277832031,0.6051724831049804,1.6756953334500615,6.3125631125631125,3.829207404578007,5.504902738028068
2011-06-21,274.34232930723766,1.2149810791015625,0.6845991070166975,1.858511476878192,5.696703296703298,7.753762074539486,9.612273551417678
2011-06-22,274.59420244008413,1.2984275817871094,0.7124451909816847,2.002376659256355,5.696703296703298,9.254783212034946,11.2571598712913
2011-06-23,273.68819004999256,1.4142990112304688,0.6122800927725515,2.1023275447086576,5.696703296703298,4.304959320875564,6.407286865584221
2011-06-24,274.52608107062565,1.1830329895019531,0.704913965430498,2.145950774811279,7.56994356994357,8.933418914158626,11.079369688969905
2011-06-25,276.75761298305,0.09918212890625001,0.9516231888465371,2.1129068698744415,10.161686961686963,22.976706276147745,25.089613146022188
2011-06-26,276.827865703443,1.2159347534179688,0.9593900480137858,2.015070447823417,11.496049896049895,23.725901440325885,25.740971888149303
2011-06-27,274.03939121558693,7.1563720703125,0.651107485893927,1.9067456126736904,5.696703296703298,6.136147124370857,8.042892737044546
2011-06-28,274.6041481129013,0.44345855712890625,0.7135447447023459,1.8454953668454368,8.211464211464211,9.722007776925295,11.567503143770733
2011-06-29,273.86443612358306,8.1024169921875,0.6317651522079778,1.842240248604272,6.928422928422928,5.056959829931771,6.899200078536043
2011-06-30,273.5359457908998,6.130218505859375,0.595448577739671,1.8803910830655122,6.928422928422928,3.4004078051113975,5.28079888817691
2011-07-01,274.4150697761481,4.897117614746094,0.6926410016881968,1.9476844452256452,7.56994356994357,8.486255301845274,10.43393974707092
2011-07-02,272.5176902038357,13.52548599243164,0.482874321586323,2.0109685247493,6.928422928422928,0.3874436756209344,2.3984122003702346
2011-07-03,271.66558650244593,8.265972137451172,0.3886691519137058,2.017117199278553,4.516305316305317,8.032974542449185e-05,2.0171975290239774
2011-07-04,273.701925871671,0.1049041748046875,0.6137986701589654,1.9463865906383069,6.928422928422928,3.6595901139235862,5.605976704561893
2011-07-05,275.11325548712904,0.2751350402832031,0.7698296153025793,1.8560272302264733,8.852984852984852,11.302425659364044,13.158452889590517
2011-07-06,274.931556440706,4.355907440185547,0.7497416970483602,1.8467051644469348,6.3125631125631125,11.50286968499437,13.349574849441304
2011-07-07,274.66068549894,3.7512779235839844,0.7197952914796114,1.948744258713611,7.56994356994357,10.121569911631799,12.070314170345409
2011-07-08,273.87371588099387,3.7298202514648438,0.632791084990549,2.081408803675831,6.3125631125631125,5.3323704943450085,7.41377929802084
2011-07-09,274.72084479643155,1.3394355773925781,0.7264462622691237,2.151508675513773,6.928422928422928,10.54250833788456,12.694017013398332
2011-07-10,274.7414046198395,5.307197570800781,0.7287192739335796,2.1412521706600574,6.3125631125631125,10.675301862586824,12.81655403324688
2011-07-11,275.81646751908545,0.7290840148925781,0.8475739188166169,2.0943317943162203,8.852984852984852,17.758978129155345,19.853309923471564
