,Qobs,DDM_total_melt,DDM_smb,Q_Total,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-06-29,6.928422928422928,1.706,5.087,7.763,16.76601967232624,-7.420945594721112,16.28997574294463
2011-06-30,6.928422928422928,1.068,2.171,7.272,0.05038631586185266,1.6877907191264359,1.0191554144146604
2011-07-01,7.56994356994357,2.814,2.552,9.023,7.537920332220738,-0.14151074975996122,10.33433885809049
2011-07-02,6.928422928422928,0.0,7.634,6.118,0.0,6.6413864915728675,1.2097003826374964
2011-07-03,4.516305316305317,0.0,8.27,5.93,0.0,2.697337558135717,4.619453860235652
2011-07-04,6.928422928422928,2.173,-2.112,7.826,0.015121011704198469,-1.0136219279328809,1.0950799345607183
2011-07-05,8.852984852984852,5.372,-5.361,10.744,0.49176457402983764,-2.0572889839142983,2.115860713199441
2011-07-06,6.3125631125631125,4.877,-4.316,10.097999999999999,11.265901813065012,-10.207585372698473,12.09245527940112
2011-07-07,7.56994356994357,3.814,-2.618,9.047,21.7316747695155,-17.623944595472846,19.000540902222685
2011-07-08,6.3125631125631125,1.485,1.255,6.774,20.71869638100307,-14.418093699427072,15.833016086613728
2011-07-09,6.928422928422928,4.481,-4.213,9.74,17.873301061971,-16.568215554650468,16.8995990050853
2011-07-10,6.3125631125631125,4.366,-3.196,9.487,22.68569099634491,-21.411275322291267,22.19191102943794
2011-07-11,8.852984852984852,7.298,-7.298,12.236,19.033174043314233,-16.790504663813348,17.248204984290158
2011-07-12,11.496049896049895,9.939,-9.939,14.696,16.959644888327247,-16.59364104640567,16.87407851324769
2011-07-13,15.627442827442827,13.984,-13.984,18.547,18.15684323558823,-17.72026287802421,18.009621294194996
2011-07-14,17.038788238788246,12.079,-12.079,16.421,17.92466650937782,-17.746661000692935,18.22820549390154
2011-07-15,15.627442827442827,8.719,-8.719,12.847,21.0819175465958,-18.153776775191766,18.457490292165513
2011-07-16,13.523255123255124,4.903,-4.225,8.89,12.483647759366695,-10.804312299798742,12.825854145457065
2011-07-17,16.32028512028512,6.481,-6.481,10.429,31.12394962869365,-20.324300962676563,20.518968403110748
2011-07-18,17.75729135729136,8.274,-8.274,12.238,22.033258404259698,-20.70562903686219,20.903555143923242
2011-07-19,19.19429759429759,10.663,-10.663,14.63,19.182438525927868,-19.46626401311105,19.6547092491177
2011-07-20,17.75729135729136,11.232,-11.232,15.148,15.80436157207625,-16.120454221966284,16.932397337249615
2011-07-21,27.38010098010097,7.656,-7.656,11.465,16.921523599924193,-15.488190186877603,15.607030620198348
2011-07-22,21.375467775467765,8.469,-8.469,12.142999999999999,21.924270969025077,-16.65761404729939,17.277229855302476
2011-07-23,21.375467775467765,12.444,-12.444,15.976,18.196788421700536,-19.99085537718199,20.25020236501764
2011-07-24,23.60795960795961,10.972,-10.972,14.356,18.123738179341377,-18.1340675709542,18.411817784646594
2011-07-25,21.375467775467765,23.974,-23.974,27.218,17.25062728602152,-16.585563270786672,17.192560007567746
2011-07-26,12.163231363231366,6.238,-4.589,9.372,16.18693305558136,-11.155993792820396,14.305310362312639
2011-07-27,9.494505494505496,0.607,0.346,3.6740000000000004,14.024686810623972,-9.312343774186203,10.873765559270042
2011-07-28,11.496049896049895,8.838,-8.656,11.863,14.988272973978644,-14.424885507644358,14.735867576595798
2011-07-29,15.627442827442827,12.245,-12.245,15.213999999999999,14.237944424738595,-12.030769179009493,12.81378326291773
2011-07-30,16.32028512028512,15.827,-15.827,18.726,17.26013438168309,-14.73888852068154,15.791924602611553
2011-07-31,19.19429759429759,17.309,-17.309,20.162000000000003,15.771413715077967,-14.126976604253663,14.792080996582536
2011-08-01,17.75729135729136,13.122,-13.122,15.969,9.956940856049638,-8.43309136060045,9.76721674082879
2011-08-02,15.627442827442827,5.651,-3.708,8.519,16.1980745275925,-13.339217833072128,15.53467293215767
2011-08-03,13.523255123255124,9.4,-9.219,12.298,17.07001824752201,-16.151406339859996,16.630118124877768
2011-08-04,18.47579447579448,17.336,-17.336,20.237,14.45588185446916,-13.919624369126037,14.390904960137139
2011-08-05,17.75729135729136,21.352,-21.352,24.19,14.821910079718302,-13.905794425463775,14.76667656802237
2011-08-06,19.19429759429759,19.192,-19.192,21.902,15.084671223832176,-14.310587075841163,14.966454963571572
2011-08-07,20.656964656964657,24.912,-24.912,27.465999999999998,14.574037517255608,-14.184545941202423,14.53723400565704
2011-08-08,14.908939708939707,20.296,-20.296,22.705,14.005659174843355,-13.647525762656274,14.168299797025524
2011-08-09,6.3125631125631125,8.085,-6.974,10.4,10.928680026006734,-6.364653940201076,10.411993366505804
2011-08-10,4.516305316305317,6.961,-5.644,9.268,22.011835621990592,-18.36492572110535,19.389165249857907
2011-08-11,2.797029997029997,0.0,8.693,2.394,10.454309578971529,-0.9863012096304655,8.241822563914837
2011-08-12,2.797029997029997,1.067,4.935,3.617,19.50538919197489,-13.504126192337589,17.324170958517318
2011-08-13,3.9261063261063254,2.803,-0.705,5.536,18.30218818336631,-12.690188847620043,13.962848756786356
2011-08-14,3.361568161568161,0.182,5.975,3.068,19.62509610402463,-10.372190903727455,13.737973249711029
